Product-Name,Brand,Top-Price,Sale-Price,id
Fujifilm X-T30 II Silver Body  ,Fujifilm,$1549.00,NO SALE,Body
Fujifilm X-T30 II Black Body  ,Fujifilm,$1549.00,NO SALE,Body
Canon M50 Mark II LTD Edition Bundle ,Canon,$1139.00,NO SALE,Body
Sony ZV-E10 Body - White  ,Sony,$1099.00,NO SALE,Body
Sony ZV-E10 Body w/ 16-50mm White Kit ,Sony,$1299.00,NO SALE,Body
Sony ZV-E10 Body w/ 16-50mm Black Kit ,Sony,$1299.00,NO SALE,Body
Sony ZV-E10 Body - Black  ,Sony,$1099.00,NO SALE,Body
Sony A7 Mark III Body  ,Sony,$2888.00,NO SALE,Body
Sony A6400 Body w/ 16-50mm Black Kit ,Sony,$1588.00,NO SALE,Body
Canon EOS R6 Body  ,Canon,$4299.00,$4149.00,Body
Canon EOS R5 Body  ,Canon,$6599.00,$6349.00,Body
Sony A6400 Body - Black  ,Sony,$1399.00,NO SALE,Body
Fujifilm X-T4 - Silver with XF18-55mm F2.8-4 R LM OIS Lens ,Fujifilm,$2899.00,NO SALE,Body
Fujifilm X-T4 Body - Black  ,Fujifilm,$2399.00,NO SALE,Body
Fujifilm X-T4 Body - Silver  ,Fujifilm,$2399.00,NO SALE,Body
Canon EOS RP Body  ,Canon,$1769.00,$1669.00,Body
Sony A6600 Body  ,Sony,$2149.00,NO SALE,Body
Canon EOS R Body  ,Canon,$2698.00,$2548.00,Body
Fujifilm X-S10 Body Only  ,Fujifilm,$1469.00,NO SALE,Body
Sony A7R Mark IV A Body  ,Sony,$5089.00,NO SALE,Body
Sony A7S III Body  ,Sony,$5399.00,NO SALE,Body
Sony A7C Body - Black  ,Sony,$2888.00,NO SALE,Body
Fujifilm X-E4 /XF27mmF2.8 R WR Silver HB Kit ,Fujifilm,$1569.00,NO SALE,Body
Sony A6000 Body w/ 16-50mm Black Kit ,Sony,$999.00,NO SALE,Body
Fujifilm X-T4 - Black with XF18-55mm F2.8-4 R LM OIS Lens ,Fujifilm,$2899.00,NO SALE,Body
Fujifilm X-S10 + XC15-45mm (Hard Bundle Kit) ,Fujifilm,$1649.00,NO SALE,Body
