Product Name, Top Price, Sale Price
Fujifilm X-T4 - Silver with XF18-55mm F2.8-4 R LM OIS Lens ,$2799.00,$2379.15
Fujifilm X-T4 Body - Black  ,$2339.00,$1988.15
Fujifilm X-T4 Body - Silver  ,$2339.00,$1988.15
Fujifilm X-S10 Body Only  ,$1499.00,$1274.15
FUJIFILM X-Pro3 Black Body  ,$2399.00,$2039.15
Fujifilm X-E4 /XF27mmF2.8 R WR Silver HB Kit ,$1569.00,$2039.15
Fujifilm X-T4 - Black with XF18-55mm F2.8-4 R LM OIS Lens ,$2799.00,$2379.15
Fujifilm X-S10 + XC15-45mm (Hard Bundle Kit) ,$1599.00,$2379.15
Fujifilm X-E4 /XF27mmF2.8 R WR Black HB Kit ,$1569.00,$1333.65
Fujifilm X-T200 Silver with XC15-45mmF3.5-5.6 OIS PZ Lens,$1176.00,$999.60
Fujifilm X-S10  + XF16-80mm (Hard Bundle Kit) ,$2199.00,$1869.15
Fujifilm X-T3 Body - Black  ,$1987.00,$1688.95
Fujifilm X-T4 - Black with XF16-80mm Lens ,$3449.00,$2931.65
Fujifilm X-E4 /MHG-XE4/TR-XE4 Black HB Kit ,$1359.00,$1155.15
Fujifilm X-T4 - Silver with XF16-80mm Lens ,$3449.00,$2931.65
Fujifilm X-E4 Silver Body  ,$1199.00,$1019.15
Fujifilm X-E4 / XF 18-55mm Black Kit ,$1599.00,$1359.15
Fujifilm X-T30 Body Only - Charcoal Grey ,$1289.00,$1095.65
FUJIFILM X-Pro3 DURA Silver Body ,$2749.00,$2336.65
Fujifilm X-T200 Champagne Gold with XC15-45mmF3.5-5.6 OIS PZ Lens,$1176.00,$2336.65
Fujifilm X-E4 /MHG-XE4/TR-XE4 Silver HB Kit ,$1359.00,$1155.15
Fujifilm X-E4 / XF 18-55mm Silver Kit ,$1599.00,$1359.15
Fujifilm X-T3  - Silver w/ 18-55mm XF f/2.8-4 R LM OIS Lens,$2449.00,$2081.65
Fujifilm X-T30 Body w/ XF 18-55mm - Black ,$1689.00,$1435.65
FUJIFILM X-Pro3 DURA Black Body ,$2749.00,$2336.65
Fujifilm X-E4 Black Body  ,$1199.00,$1019.15
Fujifilm X-E4 Black with XF 27mm Lens plus Metal Hand Grip & Thumb Rest Kit,$1669.00,$1418.65
Fujifilm X-E4 Silver with XF 27mm Lens plus Metal Hand Grip & Thumb Rest Kit,$1669.00,$1418.65
Fujifilm X-T3 Body - SIlver  ,$1987.00,$1688.95
Fujifilm X-T30 Body Only - Black ,$1289.00,$1095.65
Fujifilm X-T3  - Black w/ 18-55mm XF f/2.8-4 R LM OIS Lens,$2449.00,$2081.65
